series,2023,The Girl I Like Forgot Her Glasses,tt0497548,tt28265657
series,2023,BLEACH: Thousand-Year Blood War - The Separation,tt0434665,tt14986406
series,2023,Am I Actually the Strongest?,tt4689276,tt28254867
series,2023,Rurouni Kenshin (2023),tt0182629,tt22249034
series,2023,My Tiny Senpai,tt0972713,tt27571597
series,2023,Fate/strange Fake -Whispers of Dawn-,tt14914464,tt22264336
series,2023,Baki Hanma Season 2,tt2320220,tt13357140
series,2023,Saint Cecilia & Pastor Lawrence,tt3950092,tt22297732
series,2023,The Rising of the Shield Hero Season 3,tt27502465,tt9529546
series,2023,The Faraway Paladin: The Lord of Rust Mountains,tt21158320,tt14476244
series,2023,The Saint's Magic Power is Omnipotent II,tt17372734,tt13049906
series,2023,The Ancient Magus' Bride Season 2 Part 2,tt21105364,tt7326322
series,2023,Tensei Shitara Slime Datta Ken: Coleus no Yume,tt15483602,tt9054364
series,2023,Nanatsu no Taizai: Mokushiroku no Yonkishi,tt27845099,tt20228550
series,2023,The Yuzuki Family’s Four Sons,tt27504251,tt29340934
series,2023,Undead Unluck,tt5334364,tt21927720
series,2023,Berserk of Gluttony,tt2358913,tt28685497
series,2023,Our Dating Story: The Experienced You and The Inexperienced Me,tt4967674,tt22017206
series,2023,I'm in Love with the Villainess,tt1183366,tt29171914
series,2023,The Vexations of a Shut-In Vampire Princess,tt0095474,tt29171919
series,2023,"Girlfriend, Girlfriend Season 2",tt11448214,tt13463778
series,2023,I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,tt5355196,tt27548413
series,2023,SHY,tt4623928,tt22524872
series,2023,That Time I Got Reincarnated as a Slime: Visions of Coleus,tt9054364,tt29716957
series,2023,A Girl & Her Guard Dog,tt4744926,tt27460264
series,2023,Tearmoon Empire,tt7712706,tt21996318
series,2023,UNDER NINJA,tt7451284,tt15378218
series,2023,16bit Sensation: Another Layer,tt0159172,tt29143189
series,2023,The Seven Deadly Sins: Four Knights of the Apocalypse,tt3909224,tt20228550
series,2023,Tomo-chan Is a Girl!,tt5650082,tt21210326
series,2023,The Ice Guy and His Cool Female Colleague,tt2180883,tt21929398
series,2023,Kubo Won't Let Me Be Invisible,tt9567240,tt21844614
series,2023,TRIGUN STAMPEDE,tt0251439,tt21216104
series,2023,Farming Life in Another World,tt6603172,tt19223420
series,2023,ONIMAI: I'm Now Your Sister!,tt5650082,tt21929424
series,2023,The Iceblade Sorcerer Shall Rule the World,tt9239552,tt25531288
series,2023,Handyman Saitou in Another World,tt3658070,tt21844644
series,2023,HIGH CARD,tt2230051,tt25275610
series,2023,Sugar Apple Fairy Tale,tt2673862,tt15538376
series,2023,The Way of the Househusband: Season 2,tt2404499,tt13357124
series,2023,"Saving 80,000 Gold in Another World for My Retirement",tt4728568,tt21608762
series,2023,Ayakashi Triangle,tt1174766,tt21962510
series,2023,Junji Ito Maniac: Japanese Tales of the Macabre,tt7814574,tt21856734
series,2023,The Fire Hunter,tt0426711,tt21912036
series,2023,GIANT BEASTS OF ARS,tt0278926,tt23812370
series,2023,Tsurune - The Linking Shot -,tt27845099,tt8994044
series,2023,The Legend of Heroes: Trails of Cold Steel - Northern War,tt1690400,tt14206996
series,2023,VINLAND SAGA SEASON 2: Drowning in the Shadow,tt26250170,tt10233448
series,2023,My Love Story with Yamada-kun at Lv999,tt4623042,tt22297712
series,2023,Kaguya-sama: Love is War -The First Kiss That Never Ends-,tt9522300,tt23770418
series,2023,The Dangers in My Heart,tt2250100,tt21423786
series,2023,Dead Mount Death Play,tt0877057,tt27489241
series,2023,Summoned to Another World for a Second Time,tt7088332,tt27391405
series,2023,The Legendary Hero is Dead!,tt2269368,tt19853780
series,2023,EDENS ZERO Season 2,tt2051178,tt13167196
series,2023,Yuri Is My Job!,tt5532808,tt20234560
series,2023,Pokémon Horizons: The Series,tt0168366,tt26692417
series,2023,THE IDOLM@STER CINDERELLA GIRLS U149,tt4219136,tt26699386
series,2023,VINLAND SAGA SEASON 2: Same old story,tt26250170,tt10233448
series,WINTER,Classroom of the Elite Season 3,tt28254942,tt7263328
series,WINTER,Ao no Exorcist: Shimane Illuminati-hen,tt27621450,kitsu:46875
series,WINTER,Urusei Yatsura (2022) 2nd Season,tt0081954,tt16764368
series,WINTER,SHAMAN KING: FLOWERS,tt0367409,kitsu:46079
series,WINTER,Pon no Michi,tt30396391,kitsu:47483
series,WINTER,The Fire Hunter Season 2,tt27305026,tt21912036
series,WINTER,Meiji Gekken: 1874,tt10223702,tt30495035
series,SPRING,Tensei Shitara Slime Datta Ken 3rd Season,tt29716957,tt9054364
series,SPRING,Boku no Hero Academia 7,tt29485149,tt5626028
series,SPRING,I Was Reincarnated as the 7th Prince So I Can Take My Time Perfecting My Magical Ability,tt27801285,kitsu:46704
series,SPRING,Yozakura-san Chi no Daisakusen,tt15964848,kitsu:46869
series,SPRING,"As a Reincarnated Aristocrat, I’ll Use My Appraisal Skill to Rise in the New World",tt29716957,kitsu:47481
series,WINTER,Kami wa Game ni Ueteiru,tt29332871,kitsu:45789
series,SUMMER,Tower of God Season 2,tt27305026,tt12057106
series,SUMMER,The Elusive Samurai,tt12510204,tt27187054
